"id","firstName","lastName","phone","city","gender","age","prevCalls","totalTime","product","period","topic"
"874446477","Amy","Jenkins","1-213-718-7148","Beer-Sheva","Female",110,158,455.517,"cellular","Ordinary Days","service"
"4975692","Christy","Cruickshank","1-436-701-5448","Haifa","Male",58,160,456.001,"all","Ordinary Days","complaint"
"995722038","Hermina","Schultz","1-300-305-5817","Ashdod","Male",50,22,456.25,"all","Ordinary Days","leave"
"111590255","Winston","Collier","380-286-5314","Nahariya","Male",101,74,456.32,"cables","Ordinary Days","service"
"260429134","Thurman","Balistreri","713.474.8223","Jerusalem","Female",69,88,17.651,"all","Holidays","join"
"603958216","Zion","Smitham","224.216.6891","Nahariya","Male",104,80,18.854,"cables","Holidays","join"
"897684445","Kari","Schultz","722-813-5311","Beer-Sheva","Male",20,151,21.442,"cables","Holidays","join"
"820188272","Opal","Nienow","346.223.5589","Nahariya","Male",107,16,22.59,"cables","Holidays","join"
"272302952","Magali","Bergstrom","(656)","Jerusalem","Female",78,44,57.446,"all","Holidays","join"
"847995450","Ayden","Haley","(521)","Ashdod","Female",78,103,58.408,"cellular","Holidays","join"
"940228778","Brannon","Reynolds","748.901.5415","Beer-Sheva","Female",83,80,60.166,"cables","Holidays","join"
"305567711","Georgianna","Schulist","388-273-0746","Haifa","Female",25,116,1.347,"internet","Holidays","join"
